* 잠재능력 등급: 레전드리
* 장비 분류: 무기
* 장비: 레벨120~200
---
첫 번째 옵션 | 확률
STR +12% | 9.7561%
DEX +12% | 9.7561%
INT +12% | 9.7561%
LUK +12% | 9.7561%
공격력 +12% | 4.8780%
마력 +12% | 4.8780%
크리티컬 확률 +12% | 4.8780%
데미지 +12% | 4.8780%
올스탯 +9% | 7.3171%
공격력 +32 | 4.8780%
마력 +32 | 4.8780%
몬스터 방어율 무시 +35% | 4.8780%
몬스터 방어율 무시 +40% | 4.8780%
보스 몬스터 데미지 +35% | 9.7561%
보스 몬스터 데미지 +40% | 4.8780%
두 번째 옵션 | 확률
STR +9% | 9.3023%
DEX +9% | 9.3023%
INT +9% | 9.3023%
LUK +9% | 9.3023%
공격력 +9% | 5.5814%
마력 +9% | 5.5814%
크리티컬 확률 +9% | 7.4419%
데미지 +9% | 5.5814%
올스탯 +6% | 7.4419%
몬스터 방어율 무시 +30% | 5.5814%
보스 몬스터 데미지 +30% | 5.5814%
STR +12% | 1.9512%
DEX +12% | 1.9512%
INT +12% | 1.9512%
LUK +12% | 1.9512%
공격력 +12% | 0.9756%
마력 +12% | 0.9756%
크리티컬 확률 +12% | 0.9756%
데미지 +12% | 0.9756%
올스탯 +9% | 1.4634%
공격력 +32 | 0.9756%
마력 +32 | 0.9756%
몬스터 방어율 무시 +35% | 0.9756%
몬스터 방어율 무시 +40% | 0.9756%
보스 몬스터 데미지 +35% | 1.9512%
보스 몬스터 데미지 +40% | 0.9756%
세 번째 옵션 | 확률
STR +9% | 11.04651%
DEX +9% | 11.04651%
INT +9% | 11.04651%
LUK +9% | 11.04651%
공격력 +9% | 6.6279%
마력 +9% | 6.6279%
크리티컬 확률 +9% | 8.8372%
데미지 +9% | 6.6279%
올스탯 +6% | 8.8372%
몬스터 방어율 무시 +30% | 6.6279%
보스 몬스터 데미지 +30% | 6.6279%
STR +12% | 0.4878%
DEX +12% | 0.4878%
INT +12% | 0.4878%
LUK +12% | 0.4878%
공격력 +12% | 0.2439%
마력 +12% | 0.2439%
크리티컬 확률 +12% | 0.2439%
데미지 +12% | 0.2439%
올스탯 +9% | 0.3659%
공격력 +32 | 0.2439%
마력 +32 | 0.2439%
몬스터 방어율 무시 +35% | 0.2439%
몬스터 방어율 무시 +40% | 0.2439%
보스 몬스터 데미지 +35% | 0.4878%
보스 몬스터 데미지 +40% | 0.2439%
