* 잠재능력 등급: 유니크
* 장비 분류: 무기
* 장비: 레벨120~200
---
첫 번째 옵션 | 확률
STR +9% | 11.6279%
DEX +9% | 11.6279%
INT +9% | 11.6279%
LUK +9% | 11.6279%
공격력 +9% | 6.9767%
마력 +9% | 6.9767%
크리티컬 확률 +9% | 9.3023%
데미지 +9% | 6.9767%
올스탯 +6% | 9.3023%
몬스터 방어율 무시 +30% | 6.9767%
보스 몬스터 데미지 +30% | 6.9767%
두 번째 옵션 | 확률
STR +6% | 8.6957%
DEX +6% | 8.6957%
INT +6% | 8.6957%
LUK +6% | 8.6957%
최대 HP +6% | 8.6957%
최대 MP +6% | 8.6957%
공격력 +6% | 3.4783%
마력 +6% | 3.4783%
크리티컬 확률 +8% | 3.4783%
데미지 +6% | 3.4783%
올스탯 +3% | 3.4783%
공격 시 20% 확률로 360의 HP 회복 | 3.4783%
공격 시 20% 확률로 180의 MP 회복 | 3.4783%
몬스터 방어율 무시 +15% | 3.4783%
STR +9% | 2.3256%
DEX +9% | 2.3256%
INT +9% | 2.3256%
LUK +9% | 2.3256%
공격력 +9% | 1.3953%
마력 +9% | 1.3953%
크리티컬 확률 +9% | 1.8605%
데미지 +9% | 1.3953%
올스탯 +6% | 1.8605%
몬스터 방어율 무시 +30% | 1.3953%
보스 몬스터 데미지 +30% | 1.3953%
세 번째 옵션 | 확률
STR +6% | 10.3261%
DEX +6% | 10.3261%
INT +6% | 10.3261%
LUK +6% | 10.3261%
최대 HP +6% | 10.3261%
최대 MP +6% | 10.3261%
공격력 +6% | 4.1304%
마력 +6% | 4.1304%
크리티컬 확률 +8% | 4.1304%
데미지 +6% | 4.1304%
올스탯 +3% | 4.1304%
공격 시 20% 확률로 360의 HP 회복 | 4.1304%
공격 시 20% 확률로 180의 MP 회복 | 4.1304%
몬스터 방어율 무시 +15% | 4.1304%
STR +9% | 0.5814%
DEX +9% | 0.5814%
INT +9% | 0.5814%
LUK +9% | 0.5814%
공격력 +9% | 0.3488%
마력 +9% | 0.3488%
크리티컬 확률 +9% | 0.4651%
데미지 +9% | 0.3488%
올스탯 +6% | 0.4651%
몬스터 방어율 무시 +30% | 0.3488%
보스 몬스터 데미지 +30% | 0.3488%
