첫 번째 옵션 | 확률
STR +6% | 7.6923%
DEX +6% | 7.6923%
INT +6% | 7.6923%
LUK +6% | 7.6923%
최대 HP +6% | 11.5385%
최대 MP +6% | 11.5385%
공격력 +6% | 3.8462%
마력 +6% | 3.8462%
크리티컬 확률 +8% | 3.8462%
데미지 +6% | 3.8462%
올스탯 +3% | 3.8462%
공격 시 3% 확률로 53의 HP 회복 | 11.5385%
공격 시 3% 확률로 53의 MP 회복 | 11.5385%
몬스터 방어율 무시 +15% | 3.8462%
두 번째 옵션 | 확률
STR +12 | 3.2281%
DEX +12 | 3.2281%
INT +12 | 3.2281%
LUK +12 | 3.2281%
최대 HP +120 | 4.8421%
최대 MP +120 | 4.8421%
공격력 +12 | 3.2281%
마력 +12 | 3.2281%
STR +3% | 3.2281%
DEX +3% | 3.2281%
INT +3% | 3.2281%
LUK +3% | 3.2281%
공격력 +3% | 1.6140%
마력 +3% | 1.6140%
크리티컬 확률 +4% | 1.6140%
데미지 +3% | 1.6140%
올스탯 +5 | 3.2281%
공격 시 3% 확률로 32의 HP 회복 | 4.8421%
공격 시 3% 확률로 32의 MP 회복 | 4.8421%
공격 시 10% 확률로 6레벨 중독효과 적용 | 4.8421%
공격 시 5% 확률로 2레벨 기절효과 적용 | 4.8421%
공격 시 10% 확률로 2레벨 슬로우효과 적용 | 4.8421%
공격 시 10% 확률로 3레벨 암흑효과 적용 | 4.8421%
공격 시 5% 확률로 2레벨 빙결효과 적용 | 4.8421%
공격 시 5% 확률로 2레벨 봉인효과 적용 | 4.8421%
몬스터 방어율 무시 +15% | 1.6140%
STR +6% | 0.6153%
DEX +6% | 0.6153%
INT +6% | 0.6153%
LUK +6% | 0.6153%
최대 HP +6% | 0.9230%
최대 MP +6% | 0.9230%
공격력 +6% | 0.3077%
마력 +6% | 0.3077%
크리티컬 확률 +8% | 0.3077%
데미지 +6% | 0.3077%
올스탯 +3% | 0.3077%
공격 시 3% 확률로 53의 HP 회복 | 0.9230%
공격 시 3% 확률로 53의 MP 회복 | 0.9230%
몬스터 방어율 무시 +15% | 0.3077%
세 번째 옵션 | 확률
STR +12 | 3.2281%
DEX +12 | 3.2281%
INT +12 | 3.2281%
LUK +12 | 3.2281%
최대 HP +120 | 4.8421%
최대 MP +120 | 4.8421%
공격력 +12 | 3.2281%
마력 +12 | 3.2281%
STR +3% | 3.2281%
DEX +3% | 3.2281%
INT +3% | 3.2281%
LUK +3% | 3.2281%
공격력 +3% | 1.6140%
마력 +3% | 1.6140%
크리티컬 확률 +4% | 1.6140%
데미지 +3% | 1.6140%
올스탯 +5 | 3.2281%
공격 시 3% 확률로 32의 HP 회복 | 4.8421%
공격 시 3% 확률로 32의 MP 회복 | 4.8421%
공격 시 10% 확률로 6레벨 중독효과 적용 | 4.8421%
공격 시 5% 확률로 2레벨 기절효과 적용 | 4.8421%
공격 시 10% 확률로 2레벨 슬로우효과 적용 | 4.8421%
공격 시 10% 확률로 3레벨 암흑효과 적용 | 4.8421%
공격 시 5% 확률로 2레벨 빙결효과 적용 | 4.8421%
공격 시 5% 확률로 2레벨 봉인효과 적용 | 4.8421%
몬스터 방어율 무시 +15% | 1.6140%
STR +6% | 0.6153%
DEX +6% | 0.6153%
INT +6% | 0.6153%
LUK +6% | 0.6153%
최대 HP +6% | 0.9230%
최대 MP +6% | 0.9230%
공격력 +6% | 0.3077%
마력 +6% | 0.3077%
크리티컬 확률 +8% | 0.3077%
데미지 +6% | 0.3077%
올스탯 +3% | 0.3077%
공격 시 3% 확률로 53의 HP 회복 | 0.9230%
공격 시 3% 확률로 53의 MP 회복 | 0.9230%
몬스터 방어율 무시 +15% | 0.3077%
