첫 번째 옵션 | 확률
STR +12% | 11.1111%
DEX +12% | 11.1111%
INT +12% | 11.1111%
LUK +12% | 11.1111%
공격력 +12% | 5.5556%
마력 +12% | 5.5556%
크리티컬 확률 +12% | 5.5556%
데미지 +12% | 5.5556%
올스탯 +9% | 11.1111%
몬스터 방어율 무시 +35% | 5.5556%
몬스터 방어율 무시 +40% | 2.7778%
보스 몬스터 데미지 +35% | 11.1111%
보스 몬스터 데미지 +40% | 2.7778%
두 번째 옵션 | 확률
STR +9% | 13.3067%
DEX +9% | 13.3067%
INT +9% | 13.3067%
LUK +9% | 13.3067%
공격력 +9% | 6.6534%
마력 +9% | 6.6534%
크리티컬 확률 +9% | 6.6534%
데미지 +9% | 6.6534%
올스탯 +6% | 6.6534%
몬스터 방어율 무시 +30% | 6.6534%
보스 몬스터 데미지 +30% | 6.6534%
STR +12% | 0.02218%
DEX +12% | 0.02218%
INT +12% | 0.02218%
LUK +12% | 0.02218%
공격력 +12% | 0.01109%
마력 +12% | 0.01109%
크리티컬 확률 +12% | 0.01109%
데미지 +12% | 0.01109%
올스탯 +9% | 0.02218%
몬스터 방어율 무시 +35% | 0.01109%
몬스터 방어율 무시 +40% | 0.005544%
보스 몬스터 데미지 +35% | 0.02218%
보스 몬스터 데미지 +40% | 0.005544%
세 번째 옵션 | 확률
STR +9% | 13.3067%
DEX +9% | 13.3067%
INT +9% | 13.3067%
LUK +9% | 13.3067%
공격력 +9% | 6.6534%
마력 +9% | 6.6534%
크리티컬 확률 +9% | 6.6534%
데미지 +9% | 6.6534%
올스탯 +6% | 6.6534%
몬스터 방어율 무시 +30% | 6.6534%
보스 몬스터 데미지 +30% | 6.6534%
STR +12% | 0.02218%
DEX +12% | 0.02218%
INT +12% | 0.02218%
LUK +12% | 0.02218%
공격력 +12% | 0.01109%
마력 +12% | 0.01109%
크리티컬 확률 +12% | 0.01109%
데미지 +12% | 0.01109%
올스탯 +9% | 0.02218%
몬스터 방어율 무시 +35% | 0.01109%
몬스터 방어율 무시 +40% | 0.005544%
보스 몬스터 데미지 +35% | 0.02218%
보스 몬스터 데미지 +40% | 0.005544%
