첫 번째 옵션 | 확률
STR +9% | 13.3333%
DEX +9% | 13.3333%
INT +9% | 13.3333%
LUK +9% | 13.3333%
공격력 +9% | 6.6667%
마력 +9% | 6.6667%
크리티컬 확률 +9% | 6.6667%
데미지 +9% | 6.6667%
올스탯 +6% | 6.6667%
몬스터 방어율 무시 +30% | 6.6667%
보스 몬스터 데미지 +30% | 6.6667%
두 번째 옵션 | 확률
STR +6% | 7.5619%
DEX +6% | 7.5619%
INT +6% | 7.5619%
LUK +6% | 7.5619%
최대 HP +6% | 11.3428%
최대 MP +6% | 11.3428%
공격력 +6% | 3.7809%
마력 +6% | 3.7809%
크리티컬 확률 +8% | 3.7809%
데미지 +6% | 3.7809%
올스탯 +3% | 3.7809%
공격 시 3% 확률로 53의 HP 회복 | 11.3428%
공격 시 3% 확률로 53의 MP 회복 | 11.3428%
몬스터 방어율 무시 +15% | 3.7809%
STR +9% | 0.2261%
DEX +9% | 0.2261%
INT +9% | 0.2261%
LUK +9% | 0.2261%
공격력 +9% | 0.1131%
마력 +9% | 0.1131%
크리티컬 확률 +9% | 0.1131%
데미지 +9% | 0.1131%
올스탯 +6% | 0.1131%
몬스터 방어율 무시 +30% | 0.1131%
보스 몬스터 데미지 +30% | 0.1131%
세 번째 옵션 | 확률
STR +6% | 7.5619%
DEX +6% | 7.5619%
INT +6% | 7.5619%
LUK +6% | 7.5619%
최대 HP +6% | 11.3428%
최대 MP +6% | 11.3428%
공격력 +6% | 3.7809%
마력 +6% | 3.7809%
크리티컬 확률 +8% | 3.7809%
데미지 +6% | 3.7809%
올스탯 +3% | 3.7809%
공격 시 3% 확률로 53의 HP 회복 | 11.3428%
공격 시 3% 확률로 53의 MP 회복 | 11.3428%
몬스터 방어율 무시 +15% | 3.7809%
STR +9% | 0.2261%
DEX +9% | 0.2261%
INT +9% | 0.2261%
LUK +9% | 0.2261%
공격력 +9% | 0.1131%
마력 +9% | 0.1131%
크리티컬 확률 +9% | 0.1131%
데미지 +9% | 0.1131%
올스탯 +6% | 0.1131%
몬스터 방어율 무시 +30% | 0.1131%
보스 몬스터 데미지 +30% | 0.1131%
