첫 번째 옵션 | 확률
STR +6% | 10.8696%
DEX +6% | 10.8696%
INT +6% | 10.8696%
LUK +6% | 10.8696%
최대 HP +6% | 10.8696%
최대 MP +6% | 10.8696%
공격력 +6% | 4.3478%
마력 +6% | 4.3478%
크리티컬 확률 +8% | 4.3478%
데미지 +6% | 4.3478%
올스탯 +3% | 4.3478%
공격 시 20% 확률로 360의 HP 회복 | 4.3478%
공격 시 20% 확률로 180의 MP 회복 | 4.3478%
몬스터 방어율 무시 +15% | 4.3478%
두 번째 옵션 | 확률
STR +12 | 5.5102%
DEX +12 | 5.5102%
INT +12 | 5.5102%
LUK +12 | 5.5102%
최대 HP +120 | 5.5102%
최대 MP +120 | 5.5102%
공격력 +12 | 3.6735%
마력 +12 | 3.6735%
STR +3% | 5.5102%
DEX +3% | 5.5102%
INT +3% | 5.5102%
LUK +3% | 5.5102%
공격력 +3% | 1.8367%
마력 +3% | 1.8367%
크리티컬 확률 +4% | 1.8367%
데미지 +3% | 1.8367%
올스탯 +5 | 3.6735%
공격 시 20% 확률로 240의 HP 회복 | 1.8367%
공격 시 20% 확률로 120의 MP 회복 | 1.8367%
공격 시 20% 확률로 6레벨 중독효과 적용 | 1.8367%
공격 시 10% 확률로 2레벨 기절효과 적용 | 1.8367%
공격 시 20% 확률로 2레벨 슬로우효과 적용 | 1.8367%
공격 시 20% 확률로 3레벨 암흑효과 적용 | 1.8367%
공격 시 10% 확률로 2레벨 빙결효과 적용 | 1.8367%
공격 시 10% 확률로 2레벨 봉인효과 적용 | 1.8367%
몬스터 방어율 무시 +15% | 1.8367%
STR +6% | 1.08696%
DEX +6% | 1.08696%
INT +6% | 1.08696%
LUK +6% | 1.08696%
최대 HP +6% | 1.08696%
최대 MP +6% | 1.08696%
공격력 +6% | 0.4348%
마력 +6% | 0.4348%
크리티컬 확률 +8% | 0.4348%
데미지 +6% | 0.4348%
올스탯 +3% | 0.4348%
공격 시 20% 확률로 360의 HP 회복 | 0.4348%
공격 시 20% 확률로 180의 MP 회복 | 0.4348%
몬스터 방어율 무시 +15% | 0.4348%
세 번째 옵션 | 확률
STR +12 | 6.06122%
DEX +12 | 6.06122%
INT +12 | 6.06122%
LUK +12 | 6.06122%
최대 HP +120 | 6.06122%
최대 MP +120 | 6.06122%
공격력 +12 | 4.04082%
마력 +12 | 4.04082%
STR +3% | 6.06122%
DEX +3% | 6.06122%
INT +3% | 6.06122%
LUK +3% | 6.06122%
공격력 +3% | 2.02041%
마력 +3% | 2.02041%
크리티컬 확률 +4% | 2.02041%
데미지 +3% | 2.02041%
올스탯 +5 | 4.04082%
공격 시 20% 확률로 240의 HP 회복 | 2.02041%
공격 시 20% 확률로 120의 MP 회복 | 2.02041%
공격 시 20% 확률로 6레벨 중독효과 적용 | 2.02041%
공격 시 10% 확률로 2레벨 기절효과 적용 | 2.02041%
공격 시 20% 확률로 2레벨 슬로우효과 적용 | 2.02041%
공격 시 20% 확률로 3레벨 암흑효과 적용 | 2.02041%
공격 시 10% 확률로 2레벨 빙결효과 적용 | 2.02041%
공격 시 10% 확률로 2레벨 봉인효과 적용 | 2.02041%
몬스터 방어율 무시 +15% | 2.02041%
STR +6% | 0.1087%
DEX +6% | 0.1087%
INT +6% | 0.1087%
LUK +6% | 0.1087%
최대 HP +6% | 0.1087%
최대 MP +6% | 0.1087%
공격력 +6% | 0.04348%
마력 +6% | 0.04348%
크리티컬 확률 +8% | 0.04348%
데미지 +6% | 0.04348%
올스탯 +3% | 0.04348%
공격 시 20% 확률로 360의 HP 회복 | 0.04348%
공격 시 20% 확률로 180의 MP 회복 | 0.04348%
몬스터 방어율 무시 +15% | 0.04348%
