첫 번째 옵션 | 확률
STR +12% | 9.7561%
DEX +12% | 9.7561%
INT +12% | 9.7561%
LUK +12% | 9.7561%
공격력 +12% | 4.8780%
마력 +12% | 4.8780%
크리티컬 확률 +12% | 4.8780%
데미지 +12% | 4.8780%
올스탯 +9% | 7.3171%
공격력 +32 | 4.8780%
마력 +32 | 4.8780%
몬스터 방어율 무시 +35% | 4.8780%
몬스터 방어율 무시 +40% | 4.8780%
보스 몬스터 데미지 +35% | 9.7561%
보스 몬스터 데미지 +40% | 4.8780%
두 번째 옵션 | 확률
STR +9% | 10.4651%
DEX +9% | 10.4651%
INT +9% | 10.4651%
LUK +9% | 10.4651%
공격력 +9% | 6.2791%
마력 +9% | 6.2791%
크리티컬 확률 +9% | 8.3721%
데미지 +9% | 6.2791%
올스탯 +6% | 8.3721%
몬스터 방어율 무시 +30% | 6.2791%
보스 몬스터 데미지 +30% | 6.2791%
STR +12% | 0.9756%
DEX +12% | 0.9756%
INT +12% | 0.9756%
LUK +12% | 0.9756%
공격력 +12% | 0.4878%
마력 +12% | 0.4878%
크리티컬 확률 +12% | 0.4878%
데미지 +12% | 0.4878%
올스탯 +9% | 0.7317%
공격력 +32 | 0.4878%
마력 +32 | 0.4878%
몬스터 방어율 무시 +35% | 0.4878%
몬스터 방어율 무시 +40% | 0.4878%
보스 몬스터 데미지 +35% | 0.9756%
보스 몬스터 데미지 +40% | 0.4878%
세 번째 옵션 | 확률
STR +9% | 11.5116%
DEX +9% | 11.5116%
INT +9% | 11.5116%
LUK +9% | 11.5116%
공격력 +9% | 6.9070%
마력 +9% | 6.9070%
크리티컬 확률 +9% | 9.2093%
데미지 +9% | 6.9070%
올스탯 +6% | 9.2093%
몬스터 방어율 무시 +30% | 6.9070%
보스 몬스터 데미지 +30% | 6.9070%
STR +12% | 0.09756%
DEX +12% | 0.09756%
INT +12% | 0.09756%
LUK +12% | 0.09756%
공격력 +12% | 0.04878%
마력 +12% | 0.04878%
크리티컬 확률 +12% | 0.04878%
데미지 +12% | 0.04878%
올스탯 +9% | 0.07317%
공격력 +32 | 0.04878%
마력 +32 | 0.04878%
몬스터 방어율 무시 +35% | 0.04878%
몬스터 방어율 무시 +40% | 0.04878%
보스 몬스터 데미지 +35% | 0.09756%
보스 몬스터 데미지 +40% | 0.04878%
