첫 번째 옵션 | 확률
STR +9% | 11.6279%
DEX +9% | 11.6279%
INT +9% | 11.6279%
LUK +9% | 11.6279%
공격력 +9% | 6.9767%
마력 +9% | 6.9767%
크리티컬 확률 +9% | 9.3023%
데미지 +9% | 6.9767%
올스탯 +6% | 9.3023%
몬스터 방어율 무시 +30% | 6.9767%
보스 몬스터 데미지 +30% | 6.9767%
두 번째 옵션 | 확률
STR +6% | 9.7826%
DEX +6% | 9.7826%
INT +6% | 9.7826%
LUK +6% | 9.7826%
최대 HP +6% | 9.7826%
최대 MP +6% | 9.7826%
공격력 +6% | 3.9130%
마력 +6% | 3.9130%
크리티컬 확률 +8% | 3.9130%
데미지 +6% | 3.9130%
올스탯 +3% | 3.9130%
공격 시 20% 확률로 360의 HP 회복 | 3.9130%
공격 시 20% 확률로 180의 MP 회복 | 3.9130%
몬스터 방어율 무시 +15% | 3.9130%
STR +9% | 1.1628%
DEX +9% | 1.1628%
INT +9% | 1.1628%
LUK +9% | 1.1628%
공격력 +9% | 0.6977%
마력 +9% | 0.6977%
크리티컬 확률 +9% | 0.9302%
데미지 +9% | 0.6977%
올스탯 +6% | 0.9302%
몬스터 방어율 무시 +30% | 0.6977%
보스 몬스터 데미지 +30% | 0.6977%
세 번째 옵션 | 확률
STR +6% | 10.7609%
DEX +6% | 10.7609%
INT +6% | 10.7609%
LUK +6% | 10.7609%
최대 HP +6% | 10.7609%
최대 MP +6% | 10.7609%
공격력 +6% | 4.3043%
마력 +6% | 4.3043%
크리티컬 확률 +8% | 4.3043%
데미지 +6% | 4.3043%
올스탯 +3% | 4.3043%
공격 시 20% 확률로 360의 HP 회복 | 4.3043%
공격 시 20% 확률로 180의 MP 회복 | 4.3043%
몬스터 방어율 무시 +15% | 4.3043%
STR +9% | 0.1163%
DEX +9% | 0.1163%
INT +9% | 0.1163%
LUK +9% | 0.1163%
공격력 +9% | 0.06977%
마력 +9% | 0.06977%
크리티컬 확률 +9% | 0.09302%
데미지 +9% | 0.06977%
올스탯 +6% | 0.09302%
몬스터 방어율 무시 +30% | 0.06977%
보스 몬스터 데미지 +30% | 0.06977%
