첫 번째 옵션 | 확률
STR +6% | 7.6923%
DEX +6% | 7.6923%
INT +6% | 7.6923%
LUK +6% | 7.6923%
최대 HP +6% | 11.5385%
최대 MP +6% | 11.5385%
공격력 +6% | 3.8462%
마력 +6% | 3.8462%
크리티컬 확률 +8% | 3.8462%
데미지 +6% | 3.8462%
올스탯 +3% | 3.8462%
공격 시 3% 확률로 53의 HP 회복 | 11.5385%
공격 시 3% 확률로 53의 MP 회복 | 11.5385%
몬스터 방어율 무시 +15% | 3.8462%
두 번째 옵션 | 확률
STR +12 | 3.3417%
DEX +12 | 3.3417%
INT +12 | 3.3417%
LUK +12 | 3.3417%
최대 HP +120 | 5.01253%
최대 MP +120 | 5.01253%
공격력 +12 | 3.3417%
마력 +12 | 3.3417%
STR +3% | 3.3417%
DEX +3% | 3.3417%
INT +3% | 3.3417%
LUK +3% | 3.3417%
공격력 +3% | 1.6708%
마력 +3% | 1.6708%
크리티컬 확률 +4% | 1.6708%
데미지 +3% | 1.6708%
올스탯 +5 | 3.3417%
공격 시 3% 확률로 32의 HP 회복 | 5.01253%
공격 시 3% 확률로 32의 MP 회복 | 5.01253%
공격 시 10% 확률로 6레벨 중독효과 적용 | 5.01253%
공격 시 5% 확률로 2레벨 기절효과 적용 | 5.01253%
공격 시 10% 확률로 2레벨 슬로우효과 적용 | 5.01253%
공격 시 10% 확률로 3레벨 암흑효과 적용 | 5.01253%
공격 시 5% 확률로 2레벨 빙결효과 적용 | 5.01253%
공격 시 5% 확률로 2레벨 봉인효과 적용 | 5.01253%
몬스터 방어율 무시 +15% | 1.6708%
STR +6% | 0.3663%
DEX +6% | 0.3663%
INT +6% | 0.3663%
LUK +6% | 0.3663%
최대 HP +6% | 0.5495%
최대 MP +6% | 0.5495%
공격력 +6% | 0.1832%
마력 +6% | 0.1832%
크리티컬 확률 +8% | 0.1832%
데미지 +6% | 0.1832%
올스탯 +3% | 0.1832%
공격 시 3% 확률로 53의 HP 회복 | 0.5495%
공격 시 3% 확률로 53의 MP 회복 | 0.5495%
몬스터 방어율 무시 +15% | 0.1832%
세 번째 옵션 | 확률
STR +12 | 3.3417%
DEX +12 | 3.3417%
INT +12 | 3.3417%
LUK +12 | 3.3417%
최대 HP +120 | 5.01253%
최대 MP +120 | 5.01253%
공격력 +12 | 3.3417%
마력 +12 | 3.3417%
STR +3% | 3.3417%
DEX +3% | 3.3417%
INT +3% | 3.3417%
LUK +3% | 3.3417%
공격력 +3% | 1.6708%
마력 +3% | 1.6708%
크리티컬 확률 +4% | 1.6708%
데미지 +3% | 1.6708%
올스탯 +5 | 3.3417%
공격 시 3% 확률로 32의 HP 회복 | 5.01253%
공격 시 3% 확률로 32의 MP 회복 | 5.01253%
공격 시 10% 확률로 6레벨 중독효과 적용 | 5.01253%
공격 시 5% 확률로 2레벨 기절효과 적용 | 5.01253%
공격 시 10% 확률로 2레벨 슬로우효과 적용 | 5.01253%
공격 시 10% 확률로 3레벨 암흑효과 적용 | 5.01253%
공격 시 5% 확률로 2레벨 빙결효과 적용 | 5.01253%
공격 시 5% 확률로 2레벨 봉인효과 적용 | 5.01253%
몬스터 방어율 무시 +15% | 1.6708%
STR +6% | 0.3663%
DEX +6% | 0.3663%
INT +6% | 0.3663%
LUK +6% | 0.3663%
최대 HP +6% | 0.5495%
최대 MP +6% | 0.5495%
공격력 +6% | 0.1832%
마력 +6% | 0.1832%
크리티컬 확률 +8% | 0.1832%
데미지 +6% | 0.1832%
올스탯 +3% | 0.1832%
공격 시 3% 확률로 53의 HP 회복 | 0.5495%
공격 시 3% 확률로 53의 MP 회복 | 0.5495%
몬스터 방어율 무시 +15% | 0.1832%
