첫 번째 옵션 | 확률

rare
STR +13 | 6.1224%
DEX +13 | 6.1224%
INT +13 | 6.1224%
LUK +13 | 6.1224%
최대 HP +125 | 6.1224%
최대 MP +125 | 6.1224%
공격력 +13 | 4.08163%
마력 +13 | 4.08163%
STR +4% | 6.1224%
DEX +4% | 6.1224%
INT +4% | 6.1224%
LUK +4% | 6.1224%
공격력 +4% | 2.04082%
마력 +4% | 2.04082%
크리티컬 확률 +5% | 2.04082%
데미지 +4% | 2.04082%
올스탯 +6 | 4.08163%
공격 시 20% 확률로 250의 HP 회복 | 2.04082%
공격 시 20% 확률로 125의 MP 회복 | 2.04082%
공격 시 20% 확률로 7레벨 중독효과 적용 | 2.04082%
공격 시 10% 확률로 3레벨 기절효과 적용 | 2.04082%
공격 시 20% 확률로 3레벨 슬로우효과 적용 | 2.04082%
공격 시 20% 확률로 4레벨 암흑효과 적용 | 2.04082%
공격 시 10% 확률로 3레벨 빙결효과 적용 | 2.04082%
공격 시 10% 확률로 3레벨 봉인효과 적용 | 2.04082%
몬스터 방어율 무시 +20% | 2.04082%

두 번째 옵션 | 확률

normal
STR +6 | 12.2727%
DEX +6 | 12.2727%
INT +6 | 12.2727%
LUK +6 | 12.2727%
최대 HP +60 | 12.2727%
최대 MP +60 | 12.2727%
공격력 +6 | 8.1818%
마력 +6 | 8.1818%

rare (이탈)
STR +13 | 0.6122%
DEX +13 | 0.6122%
INT +13 | 0.6122%
LUK +13 | 0.6122%
최대 HP +125 | 0.6122%
최대 MP +125 | 0.6122%
공격력 +13 | 0.4082%
마력 +13 | 0.4082%
STR +4% | 0.6122%
DEX +4% | 0.6122%
INT +4% | 0.6122%
LUK +4% | 0.6122%
공격력 +4% | 0.2041%
마력 +4% | 0.2041%
크리티컬 확률 +5% | 0.2041%
데미지 +4% | 0.2041%
올스탯 +6 | 0.4082%
공격 시 20% 확률로 250의 HP 회복 | 0.2041%
공격 시 20% 확률로 125의 MP 회복 | 0.2041%
공격 시 20% 확률로 7레벨 중독효과 적용 | 0.2041%
공격 시 10% 확률로 3레벨 기절효과 적용 | 0.2041%
공격 시 20% 확률로 3레벨 슬로우효과 적용 | 0.2041%
공격 시 20% 확률로 4레벨 암흑효과 적용 | 0.2041%
공격 시 10% 확률로 3레벨 빙결효과 적용 | 0.2041%
공격 시 10% 확률로 3레벨 봉인효과 적용 | 0.2041%
몬스터 방어율 무시 +20% | 0.2041%

세 번째 옵션 | 확률

normal
STR +6 | 13.5000%
DEX +6 | 13.5000%
INT +6 | 13.5000%
LUK +6 | 13.5000%
최대 HP +60 | 13.5000%
최대 MP +60 | 13.5000%
공격력 +6 | 9%
마력 +6 | 9%

rare (이탈)
STR +13 | 0.06122%
DEX +13 | 0.06122%
INT +13 | 0.06122%
LUK +13 | 0.06122%
최대 HP +125 | 0.06122%
최대 MP +125 | 0.06122%
공격력 +13 | 0.04082%
마력 +13 | 0.04082%
STR +4% | 0.06122%
DEX +4% | 0.06122%
INT +4% | 0.06122%
LUK +4% | 0.06122%
공격력 +4% | 0.02041%
마력 +4% | 0.02041%
크리티컬 확률 +5% | 0.02041%
데미지 +4% | 0.02041%
올스탯 +6 | 0.04082%
공격 시 20% 확률로 250의 HP 회복 | 0.02041%
공격 시 20% 확률로 125의 MP 회복 | 0.02041%
공격 시 20% 확률로 7레벨 중독효과 적용 | 0.02041%
공격 시 10% 확률로 3레벨 기절효과 적용 | 0.02041%
공격 시 20% 확률로 3레벨 슬로우효과 적용 | 0.02041%
공격 시 20% 확률로 4레벨 암흑효과 적용 | 0.02041%
공격 시 10% 확률로 3레벨 빙결효과 적용 | 0.02041%
공격 시 10% 확률로 3레벨 봉인효과 적용 | 0.02041%
몬스터 방어율 무시 +20% | 0.02041%
